date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2026-03-12,50,49,49,144,1987700
2026-03-13,38,38,85,216,3922529
2026-03-14,33,31,99,229,4061942
2026-03-15,16,16,37,85,1306140
2026-03-16,29,29,47,108,2007640
2026-03-17,14,14,27,67,979330
2026-03-18,36,32,32,104,1513870
2026-03-19,81,76,94,271,4504470
2026-03-20,67,67,106,366,6364446
2026-03-21,39,38,64,179,2796165
2026-03-22,19,19,56,120,1719512
2026-03-23,24,24,26,87,1150852
2026-03-24,23,23,40,88,1251910
2026-03-25,26,25,72,163,2224135
2026-03-26,54,52,77,213,2985136
2026-03-27,55,55,82,216,3789940
2026-03-28,37,35,89,189,2812116
2026-03-29,28,28,65,148,2253926
2026-03-30,18,18,20,60,972132
2026-03-31,3,3,3,7,89100
2026-04-01,6,5,38,47,608410
2026-04-02,12,12,52,79,1099180
2026-04-03,14,13,32,81,1449613
2026-04-04,16,14,49,88,1384400
2026-04-05,12,10,12,32,408100
2026-04-06,9,8,82,126,1732500
2026-04-07,6,6,45,58,745800
2026-04-08,12,10,45,91,1279300
2026-04-09,13,13,22,64,1653500
2026-04-10,11,11,38,78,1421310
2026-04-11,12,12,68,143,2724590
2026-04-12,4,4,37,69,942700
2026-04-13,14,14,44,92,1464100
2026-04-14,14,13,32,95,999570
2026-04-15,15,14,72,87,1171500
2026-04-16,8,8,55,102,1439900
2026-04-17,10,10,26,68,1142350
2026-04-18,9,9,51,82,654610
2026-04-19,8,8,58,96,1614700
2026-04-20,13,9,82,123,1884300
2026-04-21,10,10,55,113,1392600
2026-04-22,7,7,51,84,1124200
2026-04-23,11,10,47,83,1143976
2026-04-24,10,10,30,33,618570
2026-04-25,12,12,71,129,1349568
2026-04-26,10,10,60,118,1133000
2026-04-27,5,5,61,116,1268680
2026-04-28,14,12,50,68,437800
2026-04-29,22,22,75,183,2011560
2026-04-30,18,18,72,122,1091200
2026-05-01,23,20,74,107,1309210
2026-05-02,20,20,84,158,2524445
2026-05-03,29,27,86,148,2444120
2026-05-04,13,12,73,124,625130
2026-05-05,4,4,61,83,482350
2026-05-06,5,5,55,72,979000
2026-05-07,7,6,46,55,148500
2026-05-08,5,5,63,87,790680
2026-05-09,8,8,68,94,1221440
2026-05-10,9,9,66,96,780450
2026-05-11,10,9,70,69,390830
2026-05-12,5,5,46,24,282700
2026-05-13,8,8,70,72,997020
2026-05-14,15,15,76,110,1590985
2026-05-15,12,12,58,82,825000
2026-05-16,10,9,119,199,2539376
2026-05-17,7,7,56,71,1032900
2026-05-18,6,6,37,36,91300
2026-05-19,9,8,57,91,842600
2026-05-20,5,5,65,68,361900
2026-05-21,12,11,71,115,480700
2026-05-22,10,9,80,138,1347280
2026-05-23,13,13,80,113,1619200
2026-05-24,8,8,57,43,386100
2026-05-25,7,6,65,36,423500
2026-05-26,7,7,78,97,1098900
2026-05-27,6,6,46,14,171930
2026-05-28,6,5,46,60,195800
2026-05-29,9,9,72,126,1467800
2026-05-30,8,8,46,22,262240
2026-05-31,4,4,19,38,572320
2026-06-01,3,3,7,24,311300
2026-06-02,4,4,4,9,153000
2026-06-03,3,3,81,191,2978900
2026-06-04,5,5,41,99,1379400
2026-06-05,1,1,4,8,135520
2026-06-06,3,2,39,50,734800
2026-06-07,2,2,38,38,530200
2026-06-08,4,4,42,106,1591810
2026-06-09,3,2,26,50,606100
2026-06-10,4,3,59,117,440000
