date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2025-07-27,41,40,53,200,2717982
2025-07-28,39,36,47,169,2387713
2025-07-29,42,40,67,195,2907747
2025-07-30,28,25,59,198,2965443
2025-07-31,37,36,49,189,2606340
2025-08-01,66,61,94,349,5762390
2025-08-02,56,50,98,345,6098058
2025-08-03,43,37,69,224,3773510
2025-08-04,43,39,53,172,2333025
2025-08-05,37,33,43,165,2445611
2025-08-06,36,32,47,139,2008668
2025-08-07,50,48,61,238,3655582
2025-08-08,57,51,106,290,5522540
2025-08-09,57,51,106,299,5680783
2025-08-10,81,66,98,310,6631942
2025-08-11,64,60,89,286,6041066
2025-08-12,51,47,90,259,5460212
2025-08-13,53,51,105,276,6163662
2025-08-14,51,46,68,228,4674917
2025-08-15,40,39,80,215,4528724
2025-08-16,43,40,52,195,2783548
2025-08-17,25,22,37,127,1762890
2025-08-18,18,17,22,86,1289632
2025-08-19,12,12,15,56,733920
2025-08-20,16,12,75,155,2051240
2025-08-21,17,16,68,153,2011500
2025-08-22,38,37,45,156,2263459
2025-08-23,18,18,22,82,1165754
2025-08-24,23,21,36,116,2099821
2025-08-25,12,11,21,58,968660
2025-08-26,10,10,13,36,493361
2025-08-27,9,8,25,56,749820
2025-08-28,15,13,14,44,533020
2025-08-29,31,30,44,142,2364339
2025-08-30,13,11,44,97,1527234
2025-08-31,4,4,53,77,988900
2025-09-01,6,6,11,21,392480
2025-09-02,5,5,7,17,281364
2025-09-03,8,8,9,21,331265
2025-09-04,12,11,20,44,632500
2025-09-05,12,12,18,60,1025860
2025-09-06,6,5,34,47,665086
2025-09-07,3,3,49,71,1057100
2025-09-08,4,4,7,10,128480
2025-09-09,7,7,10,15,230560
2025-09-10,8,7,47,71,980980
2025-09-11,6,6,30,37,487300
2025-09-12,15,13,37,97,1275538
2025-09-13,17,17,59,143,2621797
2025-09-14,4,3,30,36,610871
2025-09-15,2,2,44,58,785400
2025-09-16,8,7,37,54,748716
2025-09-17,4,4,31,30,497558
2025-09-18,6,6,6,17,251600
2025-09-19,9,8,10,28,426525
2025-09-20,8,7,31,67,1035980
2025-09-21,4,4,54,105,987580
2025-09-22,3,2,23,46,648450
2025-09-23,2,2,45,91,1285900
2025-09-24,6,5,62,128,1705000
2025-09-25,7,7,58,124,907280
2025-09-26,9,8,36,71,1200320
2025-09-27,11,10,58,97,1291000
2025-09-28,3,3,64,111,1654400
2025-09-29,8,6,6,18,226600
2025-09-30,4,4,8,23,288882
2025-10-01,6,4,71,175,2466200
2025-10-02,6,6,49,106,1508212
2025-10-03,10,10,70,205,3382650
2025-10-04,7,5,28,61,936760
2025-10-05,4,4,49,102,807400
2025-10-06,5,4,28,62,905740
2025-10-07,5,5,34,69,1070635
2025-10-08,6,5,29,60,899800
2025-10-09,11,11,39,83,619300
2025-10-10,6,5,48,151,3115200
2025-10-11,17,17,44,102,1751420
2025-10-12,3,3,28,57,886050
2025-10-13,5,5,30,62,278740
2025-10-14,14,14,17,42,769600
2025-10-15,6,5,48,102,1344200
2025-10-16,5,5,74,168,2488200
2025-10-17,8,8,13,45,726556
2025-10-18,8,7,61,98,1651925
2025-10-19,9,7,58,96,1269290
2025-10-20,3,3,46,96,1276000
2025-10-21,12,10,43,91,1368400
2025-10-22,3,3,40,103,1313300
2025-10-23,14,14,65,134,1545500
2025-10-24,9,9,18,55,916960
2025-10-25,9,7,63,144,1989900
