date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2025-06-06,33,32,45,155,2586138
2025-06-07,33,33,49,103,1422550
2025-06-08,27,23,28,58,753600
2025-06-09,14,14,25,51,728600
2025-06-10,18,18,21,39,596120
2025-06-11,14,14,43,89,1231000
2025-06-12,20,19,59,142,2243100
2025-06-13,19,19,23,62,1080070
2025-06-14,24,24,34,79,1229844
2025-06-15,26,19,31,66,913930
2025-06-16,11,10,13,36,398100
2025-06-17,12,12,28,66,907982
2025-06-18,14,14,32,54,705400
2025-06-19,13,13,31,69,1114850
2025-06-20,31,31,35,95,1342205
2025-06-21,14,13,36,75,1084500
2025-06-22,13,10,23,63,829600
2025-06-23,10,10,16,38,500400
2025-06-24,6,6,17,26,387200
2025-06-25,9,8,60,72,1017200
2025-06-26,18,16,41,51,625520
2025-06-27,29,29,42,112,1713710
2025-06-28,13,13,34,63,1033620
2025-06-29,14,11,19,31,506830
2025-06-30,5,5,10,19,322800
2025-07-01,8,8,17,38,593180
2025-07-02,6,5,34,56,833200
2025-07-03,18,18,51,115,1653030
2025-07-04,18,18,22,60,937310
2025-07-05,9,9,29,78,1036200
2025-07-06,12,9,11,35,586484
2025-07-07,9,9,47,114,1638400
2025-07-08,5,5,29,72,1008100
2025-07-09,10,7,48,96,1320500
2025-07-10,16,14,42,95,1277600
2025-07-11,28,27,42,109,1687400
2025-07-12,5,4,27,60,690800
2025-07-13,5,4,55,74,765820
2025-07-14,6,6,28,20,252500
2025-07-15,13,12,32,69,908600
2025-07-16,4,4,11,31,474320
2025-07-17,6,6,6,23,291830
2025-07-18,37,26,59,146,2775320
2025-07-19,33,32,70,206,3523343
2025-07-20,18,14,58,149,2184854
2025-07-21,12,12,65,183,2501210
2025-07-22,12,10,10,46,559350
2025-07-23,11,10,49,120,1587360
2025-07-24,23,21,50,163,2398110
2025-07-25,41,40,50,161,2583862
2025-07-26,27,25,58,182,2812480
2025-07-27,18,17,42,128,1882422
2025-07-28,18,17,19,84,1058640
2025-07-29,16,14,28,92,1345630
2025-07-30,18,15,79,203,3171088
2025-07-31,13,13,44,136,2017510
2025-08-01,31,27,47,172,2973443
2025-08-02,24,21,64,203,3287680
2025-08-03,8,6,30,76,1085040
2025-08-04,12,12,14,53,744480
2025-08-05,15,12,16,66,1228740
2025-08-06,10,8,60,130,1779120
2025-08-07,18,18,44,159,2018170
2025-08-08,30,23,53,147,2438480
2025-08-09,16,15,47,123,2198070
2025-08-10,36,21,55,136,2633114
2025-08-11,21,17,56,135,2482416
2025-08-12,15,11,45,111,1793990
2025-08-13,14,13,47,121,2046788
2025-08-14,13,8,42,95,1535741
2025-08-15,14,13,67,146,2244240
2025-08-16,7,6,29,72,902000
2025-08-17,8,6,29,75,981420
2025-08-18,3,3,5,20,286660
2025-08-19,5,3,3,17,231220
2025-08-20,10,6,67,110,1471140
2025-08-21,1,1,49,74,921840
2025-08-22,9,9,11,31,548370
2025-08-23,7,6,34,86,1329309
2025-08-24,3,3,25,56,674300
2025-08-25,2,2,2,7,111100
2025-08-26,5,5,29,65,856262
2025-08-27,4,3,61,125,1645600
2025-08-28,3,2,25,56,683100
2025-08-29,12,12,14,58,856240
2025-08-30,3,2,30,66,928400
2025-08-31,3,3,51,69,940500
2025-09-01,0,0,0,0,0
2025-09-02,2,2,22,45,638000
2025-09-03,4,3,24,52,665500
2025-09-04,4,3,35,70,683100
