date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2026-07-21,38,35,61,155,1900810
2026-07-22,25,24,66,163,2114679
2026-07-23,48,46,47,180,2309502
2026-07-24,70,67,96,304,5113984
2026-07-25,50,50,76,256,5164279
2026-07-26,38,36,74,213,3164265
2026-07-27,40,38,65,185,2495600
2026-07-28,35,30,36,124,1899223
2026-07-29,31,27,63,185,2554873
2026-07-30,41,39,46,149,2123018
2026-07-31,39,37,72,210,3437449
2026-08-01,62,54,73,260,3877279
2026-08-02,38,35,47,167,2680678
2026-08-03,44,39,59,165,2332427
2026-08-04,39,37,45,164,2216430
2026-08-05,34,28,42,202,1514025
2026-08-06,47,47,57,214,2834460
2026-08-07,78,71,82,276,5844987
2026-08-08,71,59,68,264,5161555
2026-08-09,73,63,96,330,6889774
2026-08-10,50,46,91,309,6760818
2026-08-11,69,61,81,278,5717053
2026-08-12,46,40,65,235,5178754
2026-08-13,50,49,62,219,4319358
2026-08-14,27,24,34,119,3329117
2026-08-15,33,30,34,131,1742152
2026-08-16,27,24,29,116,1717790
2026-08-17,18,15,46,129,1739430
2026-08-18,19,19,24,99,1397344
2026-08-19,15,14,52,117,1041548
2026-08-20,23,20,42,128,1004962
2026-08-21,32,32,35,131,2239739
2026-08-22,12,11,57,126,1501569
2026-08-23,11,9,40,95,947038
2026-08-24,13,12,73,145,1236971
2026-08-25,6,6,79,160,1576300
2026-08-26,9,7,50,80,224990
2026-08-27,13,12,41,94,921584
2026-08-28,28,28,38,136,2164455
2026-08-29,16,15,50,115,966680
2026-08-30,7,6,49,106,269390
2026-08-31,4,4,14,29,432300
2026-09-01,3,3,19,36,77000
2026-09-02,4,4,75,91,812900
2026-09-03,14,12,66,133,702770
2026-09-04,13,13,36,95,811844
2026-09-05,4,3,45,29,330000
2026-09-06,6,6,42,58,849240
2026-09-07,9,9,70,109,1472240
2026-09-08,3,3,40,49,742500
2026-09-09,7,6,75,116,1618100
2026-09-10,11,11,79,107,1445730
2026-09-11,13,13,73,145,2113920
2026-09-12,10,9,51,92,596585
2026-09-13,6,6,56,117,1140810
2026-09-14,3,3,5,13,219010
2026-09-15,7,6,62,98,577500
2026-09-16,7,6,66,99,836220
2026-09-17,10,8,45,86,656900
2026-09-18,15,15,42,111,1497333
2026-09-19,32,32,75,186,2337546
2026-09-20,22,22,57,136,1815799
2026-09-21,11,9,11,35,597520
2026-09-22,5,5,7,16,258038
2026-09-23,4,3,40,79,544500
2026-09-24,9,8,45,94,665760
2026-09-25,10,10,15,50,807400
2026-09-26,8,7,81,116,1607760
2026-09-27,6,6,62,72,1017940
2026-09-28,9,7,43,52,739180
2026-09-29,6,6,25,48,675100
2026-09-30,8,7,53,144,1690040
2026-10-01,6,6,47,93,768860
2026-10-02,10,10,13,40,564049
2026-10-03,10,9,61,123,698240
2026-10-04,7,7,75,175,1947880
2026-10-05,5,5,38,63,933900
2026-10-06,5,5,52,99,817300
2026-10-07,7,6,27,37,539330
2026-10-08,10,10,45,80,1075030
2026-10-09,14,12,23,52,1274108
2026-10-10,10,9,48,71,1097030
2026-10-11,5,4,55,78,743600
2026-10-12,3,3,3,8,178200
2026-10-13,1,1,22,44,19800
2026-10-14,3,2,42,86,605000
2026-10-15,5,5,41,80,1148400
2026-10-16,11,11,39,78,1772190
2026-10-17,6,5,45,98,220660
2026-10-18,4,4,53,115,1074800
2026-10-19,2,2,2,5,90200
