date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2026-03-25,32,30,75,177,2442905
2026-03-26,56,55,84,232,3194432
2026-03-27,69,68,111,262,5147360
2026-03-28,35,33,85,207,3099576
2026-03-29,38,38,75,205,3066706
2026-03-30,18,18,20,60,996112
2026-03-31,6,6,6,15,196900
2026-04-01,10,9,38,87,1139610
2026-04-02,17,17,49,115,1640160
2026-04-03,20,19,41,107,1872301
2026-04-04,19,17,50,95,1586250
2026-04-05,17,13,25,65,1050742
2026-04-06,9,8,68,99,1361500
2026-04-07,6,6,47,62,816200
2026-04-08,13,13,65,134,1848000
2026-04-09,18,17,25,70,1771600
2026-04-10,15,15,26,56,1028390
2026-04-11,12,12,68,143,2724590
2026-04-12,7,7,40,78,1063700
2026-04-13,17,17,47,102,1606880
2026-04-14,14,13,32,93,962170
2026-04-15,15,14,72,91,1224300
2026-04-16,7,7,41,80,1167100
2026-04-17,12,12,34,148,1280950
2026-04-18,14,14,56,98,874830
2026-04-19,8,8,44,70,1259400
2026-04-20,13,9,71,97,1423400
2026-04-21,12,12,58,125,1598300
2026-04-22,10,10,54,96,1317800
2026-04-23,13,12,35,68,997676
2026-04-24,10,10,12,40,670270
2026-04-25,11,11,52,85,1333068
2026-04-26,9,9,26,52,775500
2026-04-27,5,5,44,78,1328212
2026-04-28,11,9,9,24,388300
2026-04-29,20,20,38,98,1378660
2026-04-30,19,19,54,90,1217700
2026-05-01,28,26,80,127,1821480
2026-05-02,21,21,85,159,2562175
2026-05-03,28,26,85,146,2389120
2026-05-04,20,18,82,149,1231505
2026-05-05,8,8,66,99,674245
2026-05-06,7,7,71,102,1400300
2026-05-07,9,8,48,60,232100
2026-05-08,9,9,78,126,1562560
2026-05-09,10,10,70,101,1341340
2026-05-10,9,9,67,96,810018
2026-05-11,10,9,70,69,390830
2026-05-12,7,7,55,82,649000
2026-05-13,10,10,72,83,1160040
2026-05-14,17,17,74,103,1530485
2026-05-15,16,16,80,120,1569388
2026-05-16,12,11,127,221,3126304
2026-05-17,9,9,59,80,1160500
2026-05-18,6,6,37,38,131230
2026-05-19,10,9,59,95,907720
2026-05-20,6,6,66,69,380600
2026-05-21,10,10,49,71,464200
2026-05-22,14,12,69,137,2092640
2026-05-23,16,16,88,136,1857548
2026-05-24,8,8,57,52,504900
2026-05-25,7,6,65,45,552200
2026-05-26,7,7,78,97,1098900
2026-05-27,10,10,64,46,630630
2026-05-28,7,6,48,64,253000
2026-05-29,11,11,74,135,1631590
2026-05-30,11,11,64,55,734140
2026-05-31,5,5,20,40,609720
2026-06-01,6,6,10,31,428120
2026-06-02,4,4,4,9,155100
2026-06-03,3,3,81,191,2978900
2026-06-04,5,5,41,99,1379400
2026-06-05,2,2,5,10,188320
2026-06-06,4,3,40,54,774510
2026-06-07,3,3,39,40,576400
2026-06-08,4,4,42,106,1591810
2026-06-09,3,2,26,50,606100
2026-06-10,5,4,60,119,477400
2026-06-11,3,3,58,99,760100
2026-06-12,2,2,18,44,807400
2026-06-13,6,6,63,123,1095600
2026-06-14,3,3,38,72,432300
2026-06-15,1,1,21,32,445500
2026-06-16,1,1,17,42,591800
2026-06-17,4,3,43,91,79200
2026-06-18,5,5,60,124,579700
2026-06-19,1,1,1,2,41800
2026-06-20,4,3,43,58,204600
2026-06-21,1,1,37,72,404800
2026-06-22,2,2,2,3,49500
2026-06-23,0,0,0,0,0
