date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2025-07-24,35,33,51,200,3070210
2025-07-25,75,74,98,323,5330197
2025-07-26,51,50,71,251,4280727
2025-07-27,41,40,50,175,2761982
2025-07-28,36,34,47,153,2404433
2025-07-29,41,39,65,185,2817767
2025-07-30,29,26,60,195,3031443
2025-07-31,36,35,48,164,2606340
2025-08-01,67,62,95,326,5874040
2025-08-02,48,42,90,298,5752338
2025-08-03,42,36,68,217,3721260
2025-08-04,41,37,51,160,2223454
2025-08-05,34,30,40,153,2308457
2025-08-06,35,30,47,138,1922428
2025-08-07,50,48,62,245,3728897
2025-08-08,55,49,103,284,5431460
2025-08-09,57,51,106,301,5738973
2025-08-10,80,65,97,307,6575842
2025-08-11,57,53,80,260,5516780
2025-08-12,49,45,87,254,5358902
2025-08-13,52,50,104,274,6110862
2025-08-14,48,43,64,214,4380601
2025-08-15,39,38,79,215,4509474
2025-08-16,36,33,45,165,2480025
2025-08-17,25,22,36,125,1750020
2025-08-18,17,16,21,83,1235210
2025-08-19,11,11,14,51,670780
2025-08-20,15,11,74,151,1998880
2025-08-21,15,14,66,149,1954300
2025-08-22,38,37,44,156,2290739
2025-08-23,16,16,22,81,1379065
2025-08-24,21,20,35,112,2070121
2025-08-25,10,9,17,50,820160
2025-08-26,10,10,13,36,493361
2025-08-27,9,8,25,56,749820
2025-08-28,16,14,16,48,604520
2025-08-29,29,28,39,133,2171839
2025-08-30,13,11,44,97,1514034
2025-08-31,4,4,53,75,975700
2025-09-01,6,6,11,21,392480
2025-09-02,6,6,28,60,880644
2025-09-03,7,7,6,18,287265
2025-09-04,12,11,20,44,632500
2025-09-05,11,11,17,55,924330
2025-09-06,6,5,34,47,665086
2025-09-07,3,3,49,71,1057100
2025-09-08,2,2,5,6,71280
2025-09-09,8,8,31,58,828960
2025-09-10,9,8,68,114,1579380
2025-09-11,5,5,28,30,387200
2025-09-12,16,14,38,101,1308538
2025-09-13,16,16,58,141,2571637
2025-09-14,4,3,30,36,610871
2025-09-15,2,2,44,58,785400
2025-09-16,7,6,36,83,1146916
2025-09-17,4,4,31,62,955158
2025-09-18,7,7,7,21,280200
2025-09-19,8,7,9,26,382525
2025-09-20,9,8,33,71,1105940
2025-09-21,4,4,54,105,987580
2025-09-22,3,2,23,46,648450
2025-09-23,2,2,45,91,1285900
2025-09-24,6,5,62,128,1705000
2025-09-25,6,6,54,122,874280
2025-09-26,8,7,35,67,1150160
2025-09-27,10,9,55,94,1239190
2025-09-28,3,3,64,111,1654400
2025-09-29,8,6,6,18,226600
2025-09-30,3,3,7,18,225082
2025-10-01,6,4,71,175,2466200
2025-10-02,6,6,49,106,1508212
2025-10-03,8,8,68,195,3191250
2025-10-04,7,5,28,61,936760
2025-10-05,4,4,49,102,807400
2025-10-06,5,4,28,62,905740
2025-10-07,4,4,33,64,1018935
2025-10-08,6,5,29,60,899800
2025-10-09,10,10,39,81,579700
2025-10-10,3,2,48,143,2890800
2025-10-11,15,15,42,97,1656160
2025-10-12,2,2,6,13,315150
2025-10-13,6,6,32,66,341660
2025-10-14,14,14,17,42,769600
2025-10-15,5,4,26,58,773300
2025-10-16,5,5,74,168,2488200
2025-10-17,8,8,13,45,726556
2025-10-18,8,7,61,137,2209625
2025-10-19,9,7,58,135,1826990
2025-10-20,2,2,24,52,705100
2025-10-21,12,10,43,91,1368400
2025-10-22,3,3,40,103,1313300
