date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2026-05-13,16,15,69,132,1990640
2026-05-14,30,26,52,105,1690345
2026-05-15,36,36,77,185,3394152
2026-05-16,24,19,77,182,2581458
2026-05-17,17,17,44,96,1434255
2026-05-18,26,24,37,130,1201080
2026-05-19,17,16,48,80,921220
2026-05-20,12,11,35,67,1025960
2026-05-21,23,23,27,81,1199970
2026-05-22,31,28,61,173,2815550
2026-05-23,24,24,98,186,2602688
2026-05-24,18,14,38,69,1011000
2026-05-25,8,7,53,88,1247500
2026-05-26,11,11,61,105,1510360
2026-05-27,16,15,16,42,548230
2026-05-28,17,17,39,111,1423620
2026-05-29,19,19,28,75,1578687
2026-05-30,16,16,74,123,1876116
2026-05-31,10,10,22,47,700100
2026-06-01,8,8,29,68,950500
2026-06-02,9,9,9,28,409200
2026-06-03,6,6,84,204,3153800
2026-06-04,14,14,39,72,1027400
2026-06-05,14,14,18,62,841930
2026-06-06,10,9,54,107,1422572
2026-06-07,7,6,28,40,613950
2026-06-08,7,7,46,112,1554685
2026-06-09,3,2,2,5,72600
2026-06-10,10,10,49,87,1104000
2026-06-11,10,10,47,98,1328800
2026-06-12,9,9,10,35,525310
2026-06-13,8,8,30,58,711040
2026-06-14,8,8,12,32,447752
2026-06-15,10,10,38,66,1045292
2026-06-16,5,5,5,13,211200
2026-06-17,9,8,30,60,298100
2026-06-18,9,9,31,69,423500
2026-06-19,17,17,21,93,1287200
2026-06-20,10,9,51,47,669900
2026-06-21,5,4,45,29,365200
2026-06-22,4,4,22,51,756800
2026-06-23,6,6,30,60,858220
2026-06-24,8,7,67,111,807400
2026-06-25,11,11,47,101,785200
2026-06-26,4,4,4,12,178200
2026-06-27,7,6,53,111,452100
2026-06-28,2,2,43,84,66000
2026-06-29,2,2,21,40,56100
2026-06-30,4,4,24,48,172700
2026-07-01,6,5,62,77,999900
2026-07-02,4,4,41,61,748000
2026-07-03,8,7,33,82,266860
2026-07-04,8,7,69,126,489500
2026-07-05,2,2,43,50,45100
2026-07-06,6,5,31,66,521400
2026-07-07,3,3,20,43,169400
2026-07-08,4,4,63,64,743100
2026-07-09,11,11,45,101,802800
2026-07-10,13,13,39,82,780400
2026-07-11,4,3,44,81,330660
2026-07-12,2,2,25,50,111100
2026-07-13,7,7,63,127,1349055
2026-07-14,6,5,5,10,162800
2026-07-15,9,8,66,103,1383800
2026-07-16,9,9,64,116,1052040
2026-07-17,25,20,46,157,3084559
2026-07-18,34,33,48,172,2834474
2026-07-19,12,10,54,111,493240
2026-07-20,9,9,80,185,2570075
2026-07-21,10,9,31,71,423570
2026-07-22,13,9,67,148,874880
2026-07-23,23,23,43,98,1252012
2026-07-24,29,28,44,140,2450283
2026-07-25,16,15,76,194,1110485
2026-07-26,8,8,51,84,474540
2026-07-27,16,15,37,100,1291890
2026-07-28,11,10,11,37,526790
2026-07-29,15,12,41,121,1477900
2026-07-30,19,19,38,110,1549490
2026-07-31,28,26,35,115,1590900
2026-08-01,29,20,54,176,1897412
2026-08-02,17,16,57,147,1536510
2026-08-03,15,12,31,70,1054810
2026-08-04,1,1,4,7,97400
2026-08-05,20,16,41,122,801350
2026-08-06,27,27,66,175,1919820
2026-08-07,19,19,45,137,2233588
2026-08-08,21,16,36,103,1356190
2026-08-09,26,19,59,159,2734248
2026-08-10,13,12,69,189,3435188
2026-08-11,6,6,12,48,1177781
