date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2026-05-07,18,15,18,47,631460
2026-05-08,33,31,51,114,2122790
2026-05-09,22,22,41,110,1417640
2026-05-10,17,14,21,42,683068
2026-05-11,29,26,50,109,1554496
2026-05-12,15,15,45,136,1476740
2026-05-13,13,13,68,130,1948840
2026-05-14,29,25,53,108,1727745
2026-05-15,31,31,75,168,3151362
2026-05-16,22,17,75,178,2506948
2026-05-17,19,19,46,102,1502455
2026-05-18,20,19,37,131,1191400
2026-05-19,18,17,52,81,904720
2026-05-20,12,11,35,67,1025960
2026-05-21,18,18,22,64,968970
2026-05-22,31,28,62,173,2798850
2026-05-23,23,23,97,182,2542408
2026-05-24,17,13,37,65,953800
2026-05-25,8,7,53,88,1240900
2026-05-26,12,12,62,111,1559860
2026-05-27,16,15,16,42,548230
2026-05-28,14,14,37,105,1293820
2026-05-29,18,18,28,74,1551187
2026-05-30,16,16,74,123,1876116
2026-05-31,7,7,19,38,570300
2026-06-01,9,9,30,70,988120
2026-06-02,9,9,9,28,400400
2026-06-03,6,6,84,204,3153800
2026-06-04,12,12,37,66,927800
2026-06-05,11,11,15,45,641730
2026-06-06,11,10,55,111,1466572
2026-06-07,7,6,28,40,613950
2026-06-08,6,6,45,111,1537085
2026-06-09,3,2,2,5,72600
2026-06-10,12,11,71,131,1120500
2026-06-11,8,8,66,126,1197900
2026-06-12,8,8,9,32,462610
2026-06-13,6,6,28,52,635800
2026-06-14,6,6,6,20,235600
2026-06-15,8,8,30,50,788112
2026-06-16,6,6,22,54,790900
2026-06-17,8,7,28,56,214500
2026-06-18,8,8,30,65,392700
2026-06-19,15,15,20,87,1158500
2026-06-20,9,8,48,35,458700
2026-06-21,3,3,44,28,345400
2026-06-22,4,4,21,50,737000
2026-06-23,5,5,26,48,739420
2026-06-24,8,7,67,93,550000
2026-06-25,10,10,46,99,723600
2026-06-26,3,3,3,10,127600
2026-06-27,7,6,53,111,452100
2026-06-28,2,2,43,84,66000
2026-06-29,2,2,21,40,56100
2026-06-30,4,4,24,48,172700
2026-07-01,5,4,47,49,608300
2026-07-02,3,3,39,48,634700
2026-07-03,7,6,32,78,218460
2026-07-04,7,6,68,116,414920
2026-07-05,3,3,58,78,433400
2026-07-06,6,5,31,66,521400
2026-07-07,2,2,19,39,134200
2026-07-08,3,3,62,62,707900
2026-07-09,11,11,45,101,802800
2026-07-10,12,12,47,97,569200
2026-07-11,4,3,44,81,330660
2026-07-12,2,2,38,74,446600
2026-07-13,6,6,62,123,1316055
2026-07-14,5,4,4,9,143000
2026-07-15,8,7,51,75,992200
2026-07-16,7,7,61,103,845680
2026-07-17,25,20,61,182,3591659
2026-07-18,32,31,47,168,2779694
2026-07-19,11,10,82,207,1722710
2026-07-20,9,9,79,181,2528275
2026-07-21,10,9,31,71,423570
2026-07-22,12,8,66,144,830880
2026-07-23,23,23,59,126,1655657
2026-07-24,25,24,44,120,2204796
2026-07-25,16,15,76,194,1110485
2026-07-26,9,9,66,112,862840
2026-07-27,15,14,36,95,1232490
2026-07-28,8,8,9,30,423940
2026-07-29,14,11,28,77,942750
2026-07-30,18,18,38,113,1583150
2026-07-31,27,25,34,112,1528420
2026-08-01,30,21,41,122,1090100
2026-08-02,14,14,55,141,1438060
2026-08-03,10,8,26,56,827110
2026-08-04,1,1,3,4,44600
2026-08-05,16,12,35,109,581460
