date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2025-07-13,9,8,47,59,693020
2025-07-14,20,20,54,80,1141256
2025-07-15,33,30,35,101,895388
2025-07-16,16,16,30,78,1158624
2025-07-17,14,14,17,65,703197
2025-07-18,50,39,48,134,2879160
2025-07-19,58,57,81,220,4160250
2025-07-20,32,28,83,223,3895052
2025-07-21,20,18,78,230,3207328
2025-07-22,17,16,21,68,1042536
2025-07-23,21,20,59,147,2055718
2025-07-24,29,28,57,184,2724480
2025-07-25,63,61,78,237,4163627
2025-07-26,37,35,71,223,3653535
2025-07-27,35,32,64,212,2893652
2025-07-28,28,27,37,140,1960887
2025-07-29,29,28,55,160,2392100
2025-07-30,22,19,82,208,3230598
2025-07-31,28,27,60,201,2843280
2025-08-01,54,47,76,299,4778916
2025-08-02,37,32,82,269,4109417
2025-08-03,17,12,43,123,2114605
2025-08-04,21,20,26,92,1274033
2025-08-05,24,22,29,122,1868957
2025-08-06,24,19,43,112,1540530
2025-08-07,40,39,46,197,2628430
2025-08-08,48,40,77,207,3923502
2025-08-09,49,43,85,239,5157293
2025-08-10,64,44,91,263,5539255
2025-08-11,37,32,79,221,4340440
2025-08-12,32,27,72,212,3709410
2025-08-13,41,38,78,235,4269409
2025-08-14,29,22,64,164,2967380
2025-08-15,28,25,87,213,3772538
2025-08-16,21,19,46,140,1837720
2025-08-17,13,12,46,132,1840410
2025-08-18,8,8,11,43,719088
2025-08-19,13,11,11,52,676060
2025-08-20,15,11,75,136,1784160
2025-08-21,9,9,60,115,1518910
2025-08-22,16,16,19,68,1033424
2025-08-23,14,13,39,118,1743742
2025-08-24,15,14,51,141,2310541
2025-08-25,7,6,14,40,686400
2025-08-26,7,7,10,29,391941
2025-08-27,6,4,42,89,1106880
2025-08-28,9,8,32,79,961030
2025-08-29,26,25,34,115,1806749
2025-08-30,7,6,40,84,1150288
2025-08-31,3,3,51,69,940500
2025-09-01,3,3,5,9,235840
2025-09-02,4,4,26,53,791764
2025-09-03,6,5,26,58,740300
2025-09-04,8,7,39,84,1097800
2025-09-05,6,6,33,72,584760
2025-09-06,4,3,32,71,1022586
2025-09-07,2,2,65,126,1164900
2025-09-08,2,2,5,6,71280
2025-09-09,4,4,27,51,721160
2025-09-10,7,6,48,105,1453100
2025-09-11,1,1,23,48,652300
2025-09-12,5,4,28,70,832788
2025-09-13,11,11,46,119,2021548
2025-09-14,4,3,30,71,1034371
2025-09-15,3,3,61,135,1797400
2025-09-16,5,4,23,52,740300
2025-09-17,3,3,42,92,1358396
2025-09-18,4,4,4,12,152750
2025-09-19,5,4,6,19,265100
2025-09-20,7,6,29,30,498630
2025-09-21,4,4,54,71,501380
2025-09-22,4,3,40,88,1236950
2025-09-23,3,3,62,133,1874400
2025-09-24,6,5,62,128,1705000
2025-09-25,3,3,8,20,143000
2025-09-26,4,4,8,35,696520
2025-09-27,6,6,22,53,772570
2025-09-28,2,2,29,84,1177000
2025-09-29,5,3,3,12,123200
2025-09-30,2,2,6,16,192082
2025-10-01,1,1,17,42,588500
2025-10-02,2,2,3,6,114400
2025-10-03,8,8,19,54,375250
2025-10-04,4,3,3,8,141460
2025-10-05,2,2,3,12,136400
2025-10-06,2,2,18,44,623700
2025-10-07,4,3,12,15,341280
2025-10-08,2,2,3,5,108900
2025-10-09,4,4,6,16,207900
2025-10-10,0,0,0,0,0
2025-10-11,8,8,10,37,669680
